Admission Number,Full Name,Class,Sex,Age,Small Biography,Parent/Guardian Name,Contact,Place of Residence,Photo,Department,school,career,
GER001,Gladwell Andati,PP. 1,F,6,Gladwell is a bright student who enjoys drawing and playing with her friends. She is very curious and loves to learn new things.,Mrs. Andati,07xxxxxxxx,"Kakamega, Kenya",static/images/GER001.jpg,Germans,Daisy Centre - ECDE,Artist,
GER002,Sammy Masinde,PP. 1,M,6,Sammy is an energetic boy who loves to play football and read storybooks. He is a good friend to everyone.,Mr. Masinde,07xxxxxxxx,"Kakamega, Kenya",static/images/GER002.jpg,Germans,Daisy Centre - ECDE,Footballer,
GER003,Sandra Ondeche,PP. 1,F,6,Sandra is a quiet and observant student. She has a vivid imagination and loves to tell stories.,Mrs. Ondeche,07xxxxxxxx,"Kakamega, Kenya",static/images/GER003.jpg,Germans,Daisy Centre - ECDE,Storyteller,
GER004,Morgan Mburu,Pri. 1,M,7,Morgan is a cheerful boy who excels in mathematics. He dreams of becoming an engineer one day.,Mr. Mburu,07xxxxxxxx,"Kakamega, Kenya",static/images/GER004.jpg,Germans,Daisy Centre - Primary,Engineer,
GER005,Davis Bilai,Pri. 1,M,7,Denis is a very active student who loves to participate in sports. He is known for his friendly nature.,Mr. Bilali,07xxxxxxxx,"Kakamega, Kenya",static/images/GER005.jpg,Germans,Daisy Centre - Primary,Athlete,
GER006,Fidel Ayoti,Pri. 2,M,8,Fidel is a diligent student who is passionate about science. He loves conducting small experiments at home.,Mr. Ayoti,07xxxxxxxx,"Kakamega, Kenya",static/images/GER006.jpg,Germans,Daisy Centre - Primary,Scientist,
GER007,Gloria Ndakala,Pri. 2,F,8,Gloria is a creative student who enjoys painting and crafting. She is a natural leader and a great team player.,Mrs. Ndakala,07xxxxxxxx,"Kakamega, Kenya",static/images/GER007.jpg,Germans,Daisy Centre - Primary,Painter,
GER008,Daisy Carolyne,Pri. 3,F,9,Daisy is a high-achieving student who loves reading and writing poems. She is a talented public speaker.,Mrs. Carolyne,07xxxxxxxx,"Kakamega, Kenya",static/images/GER008.jpg,Germans,Daisy Centre - Primary,Poet,
GER009,Dorothy Sungu,Pri. 3,F,9,Dorothy is a kind and helpful student. She loves animals and wants to be a veterinarian when she grows up.,Mrs. Sungu,07xxxxxxxx,"Kakamega, Kenya",static/images/GER009.jpg,Germans,Daisy Centre - Primary,Veterinarian,
GER010,Effie Pendo,Pri. 4,F,10,Effie is an enthusiastic student who is always eager to learn. She loves music and plays the recorder.,Mrs. Pendo,07xxxxxxxx,"Kakamega, Kenya",static/images/GER010.jpg,Germans,Daisy Centre - Primary,Musician,
GER011,Mary Ochingwa,Pri. 4,F,10,Mary is a thoughtful student with a passion for history. She enjoys learning about different cultures and historical events.,Mrs. Ochingwa,07xxxxxxxx,"Kakamega, Kenya",static/images/GER011.jpg,Germans,Daisy Centre - Primary,Historian,
GER012,Vivian Nanzala,Pri. 4,F,10,Vivian is a cheerful girl who loves to draw cartoons. She is very social and has many friends.,Mrs. Nanzala,07xxxxxxxx,"Kakamega, Kenya",static/images/GER012.jpg,Germans,Daisy Centre - Primary,Cartoonist,
GER013,Rumona Anyanga,Pri. 5,F,11,Rumona is a dedicated student who loves geography. She dreams of traveling the world one day.,Mrs. Anyanga,07xxxxxxxx,"Kakamega, Kenya",static/images/GER013.jpg,Germans,Daisy Centre - Primary,Explorer,
GER014,Davies Makokha,Pri. 5,M,11,Davies is a great athlete who excels in track and field. He is also a hard worker in his studies.,Mr. Makokha,07xxxxxxxx,"Kakamega, Kenya",static/images/GER014.jpg,Germans,Daisy Centre - Primary,Athlete,
GER015,Emmaculate Omitsi,Pri. 5,F,11,Emmaculate is a very creative girl who loves to write short stories. She is an aspiring author.,Mrs. Omitsi,07xxxxxxxx,"Kakamega, Kenya",static/images/GER015.jpg,Germans,Daisy Centre - Primary,Author,
GER016,Selpher Oyiera,Pri. 6,M,12,Seipher is a curious student who is fascinated by technology. He loves to dismantle and reassemble gadgets.,Mr. Oyiera,07xxxxxxxx,"Kakamega, Kenya",static/images/GER016.jpg,Germans,Daisy Centre - Primary,Technician,
GER017,Phonice Mideva,Pri. 6,F,12,Phonice is a brilliant student who loves to solve complex puzzles. She is a member of the school's chess club.,Mrs. Mideva,07xxxxxxxx,"Kakamega, Kenya",static/images/GER017.jpg,Germans,Daisy Centre - Primary,Chess Master,
GER018,Kelvin Ambeva,Pri. 6,M,12,Kelvin is an adventurous boy who loves to explore the outdoors. He is a budding ornithologist.,Mr. Ambeva,07xxxxxxxx,"Kakamega, Kenya",static/images/GER018.jpg,Germans,Daisy Centre - Primary,Ornithologist,
GER019,Danphus Anyira,JSS. 7,M,13,Danphus is a very promising student who is passionate about environmental conservation. He is an active member of the school's environmental club.,Mr. Anyira,07xxxxxxxx,"Kakamega, Kenya",static/images/GER019.jpg,Germans,Daisy Centre - JSS,Environmentalist,
GER020,Gift Cheti,JSS. 7,F,13,Gift is a friendly and outgoing student. She loves to sing and is part of the school choir.,Mrs. Cheti,07xxxxxxxx,"Kakamega, Kenya",static/images/GER020.jpg,Germans,Daisy Centre - JSS,Musician,
GER021,Blessing M. Asumwa,JSS. 7,F,13,Blessing is a quiet but confident student. She excels in her studies and is a great role model for her peers.,Mrs. Asumwa,07xxxxxxxx,"Kakamega, Kenya",static/images/GER021.jpg,Germans,Daisy Centre - JSS,Lawyer,
GER022,Boaz Ambani,JSS. 7,M,13,Boaz is a diligent student with a keen interest in computer science. He spends his free time learning about coding.,Mr. Ambani,07xxxxxxxx,"Kakamega, Kenya",static/images/GER022.jpg,Germans,Daisy Centre - JSS,Programmer,
GER023,Bradley Mapesa,JSS. 7,M,13,Bradley is a creative student who loves to draw and paint. He is an aspiring artist and has won several art competitions.,Mr. Mapesa,07xxxxxxxx,"Kakamega, Kenya",static/images/GER023.jpg,Germans,Daisy Centre - JSS,Artist,
GER024,Christopher Bweya,JSS. 7,M,13,Christopher is a responsible and organized student. He is a leader in his class and a great team player.,Mr. Bweya,07xxxxxxxx,"Kakamega, Kenya",static/images/GER024.jpg,Germans,Daisy Centre - JSS,Manager,
GER025,Daisy Muchema,JSS. 7,F,13,Daisy is a very ambitious student who is passionate about social justice. She dreams of becoming a lawyer one day.,Mrs. Muchema,07xxxxxxxx,"Kakamega, Kenya",static/images/GER025.jpg,Germans,Daisy Centre - JSS,Lawyer,
GER026,Innocent Luttah,JSS. 7,M,13,Innocent is a quiet and observant student. He loves to read and is a big fan of fantasy novels.,Mr. Luttah,07xxxxxxxx,"Kakamega, Kenya",static/images/GER026.jpg,Germans,Daisy Centre - JSS,Writer,
GER027,Joseph Okoko,JSS. 7,M,13,Joseph is a hardworking student who is a great problem-solver. He enjoys a good challenge and is always ready to help his friends.,Mr. Okoko,07xxxxxxxx,"Kakamega, Kenya",static/images/GER027.jpg,Germans,Daisy Centre - JSS,Engineer,
GER028,Natasha Liz Otengo,JSS. 7,F,13,Natasha is a cheerful and outgoing student. She loves to dance and is a great performer.,Mrs. Otengo,07xxxxxxxx,"Kakamega, Kenya",static/images/GER028.jpg,Germans,Daisy Centre - JSS,Dancer,
GER029,Sedela Abuko,JSS. 7,M,13,Sedela is a thoughtful and caring student. He is a great listener and a very trustworthy friend.,Mr. Abuko,07xxxxxxxx,"Kakamega, Kenya",static/images/GER029.jpg,Germans,Daisy Centre - JSS,Counselor,
GER030,Vanessa Omuronji,JSS. 7,F,13,Vanessa is a very organized and disciplined student. She is a natural leader and is known for her strong work ethic.,Mrs. Omuronji,07xxxxxxxx,"Kakamega, Kenya",static/images/GER030.jpg,Germans,Daisy Centre - JSS,Manager,
GER031,Wilson Etindi,JSS. 7,M,13,Wilson is a very creative student who loves to write poetry and music. He is a talented musician and plays the guitar.,Mr. Etindi,07xxxxxxxx,"Kakamega, Kenya",static/images/GER031.jpg,Germans,Daisy Centre - JSS,Musician,
GER032,Wycliffe Lihayo,JSS. 7,M,13,Wycliffe is a passionate and energetic student. He is a great debater and is known for his convincing arguments.,Mr. Lihayo,07xxxxxxxx,"Kakamega, Kenya",static/images/GER032.jpg,Germans,Daisy Centre - JSS,Politician,
